model_key,display_name,source_group,p1_n,p2_n,p3_n,p4_n,action_prior,edit_style,feedback_obedience,state_trust,preference_execution,p1_composite,p2_final_feasible_power_ratio,p3_success_rate,p3_trap_escape_rate,p4_balanced_active_bars,p4_full_tau
model_E,model_E,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.428155,0.621903,0.391601,0.442969,0.730112,0.206565,0.239431,0.160256,0.967949,0.678082,0.840252
model_D,model_D,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.651789,0.666956,0.454723,0.455127,0.728331,0.503642,0.241280,0.429487,0.923077,0.683538,0.832704
model_H,model_H,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.536054,0.493108,0.389214,0.628742,0.707603,0.368926,0.156470,0.352564,0.826923,0.575126,0.860377
model_K,model_K,thinking_extension_runs_20260425_20260427,240.000000,208.000000,156.000000,159.000000,0.491119,0.404016,0.331826,0.736603,0.665543,0.306321,0.129425,0.288462,0.903846,0.583223,0.793711
model_B,model_B,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.667732,0.752885,0.507903,0.424565,0.728533,0.549243,0.390384,0.371795,0.923077,0.698789,0.823899
model_C,model_C,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.657297,0.482268,0.406184,0.452863,0.742597,0.427833,0.132949,0.423077,0.903846,0.625849,0.886792
model_M,model_M,thinking_extension_runs_20260425_20260427,240.000000,208.000000,156.000000,159.000000,0.564223,0.484825,0.429226,0.599211,0.687913,0.424824,0.160855,0.474359,0.775641,0.560991,0.838994
llama_3_3_70b,Llama-3.3-70B,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.528231,0.586179,0.326451,0.451656,0.622354,0.360811,0.119736,0.032051,0.346154,0.538553,0.714465
o4_mini,model_F,core_main_table_bundle_20260417_with_overrides,240.000000,208.000000,156.000000,159.000000,0.635409,0.469993,0.390784,0.494516,0.665613,0.517756,0.155053,0.262821,0.692308,0.592311,0.772327
qwen3_6_plus,model_G,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.491119,0.613281,0.403885,0.522852,0.760537,0.306321,0.206268,0.275641,0.948718,0.690110,0.874214
model_A,model_A,core_main_table_bundle_20260417,240.000000,208.000000,156.000000,159.000000,0.737373,0.570842,0.407081,0.645936,0.679161,0.574010,0.195550,0.301282,0.858974,0.536730,0.835220
model_L,model_L,thinking_extension_runs_20260425_20260427,240.000000,208.000000,156.000000,159.000000,0.498759,0.385055,0.391147,0.626627,0.706926,0.317190,0.107292,0.455128,0.634615,0.601211,0.842767
